79:22  Error: Promise executor functions should not be async.  no-async-promise-executor
111:11  Error: 'stdout' is assigned a value but never used. Allowed unused vars must match /^_/u.  @typescript-eslint/no-unused-vars
187:15  Error: 'duration' is assigned a value but never used. Allowed unused vars must match /^_/u.  @typescript-eslint/no-unused-vars
194:13  Error: 'duration' is assigned a value but never used. Allowed unused vars must match /^_/u.  @typescript-eslint/no-unused-vars
12:10  Error: 'toast' is defined but never used. Allowed unused vars must match /^_/u.  @typescript-eslint/no-unused-vars
126:34  Error: Unnecessary escape character: \..  no-useless-escape
126:47  Error: Unnecessary escape character: \/.  no-useless-escape
129:33  Error: Unnecessary escape character: \..  no-useless-escape
129:46  Error: Unnecessary escape character: \/.  no-useless-escape
164:35  Error: Unnecessary escape character: \`.  no-useless-escape
164:37  Error: Unnecessary escape character: \~.  no-useless-escape
164:39  Error: Unnecessary escape character: \!.  no-useless-escape
164:41  Error: Unnecessary escape character: \@.  no-useless-escape
164:43  Error: Unnecessary escape character: \#.  no-useless-escape
164:45  Error: Unnecessary escape character: \%.  no-useless-escape
164:47  Error: Unnecessary escape character: \^.  no-useless-escape
164:49  Error: Unnecessary escape character: \&.  no-useless-escape
164:51  Error: Unnecessary escape character: \*.  no-useless-escape
164:53  Error: Unnecessary escape character: \(.  no-useless-escape
164:55  Error: Unnecessary escape character: \).  no-useless-escape
164:59  Error: Unnecessary escape character: \=.  no-useless-escape
164:61  Error: Unnecessary escape character: \+.  no-useless-escape
164:63  Error: Unnecessary escape character: \[.  no-useless-escape
164:65  Error: Unnecessary escape character: \{.  no-useless-escape
164:69  Error: Unnecessary escape character: \}.  no-useless-escape
164:73  Error: Unnecessary escape character: \|.  no-useless-escape
164:75  Error: Unnecessary escape character: \;.  no-useless-escape
164:77  Error: Unnecessary escape character: \:.  no-useless-escape
164:79  Error: Unnecessary escape character: \'.  no-useless-escape
164:81  Error: Unnecessary escape character: \".  no-useless-escape
164:83  Error: Unnecessary escape character: \,.  no-useless-escape
164:85  Error: Unnecessary escape character: \..  no-useless-escape
164:87  Error: Unnecessary escape character: \<.  no-useless-escape
164:89  Error: Unnecessary escape character: \>.  no-useless-escape
